ts,sessionId,page,auth,method,status,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration
1618244426000,8255,Home,Logged In,GET,200,paid,24,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,,,
1618244455000,9040,NextSong,Logged In,PUT,200,paid,21,Louisville,40218,KY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.654311,38.189321,266.0,Daniel,Collin,M,1616086800000.0,Miguel Calo,El Cuatrero,171.17995
1618244486000,8636,NextSong,Logged In,PUT,200,paid,2,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,Jazzanova,Fade out,40.41098
1618244487000,4680,NextSong,Logged In,PUT,200,paid,2,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506.0,Miller,Brianna,F,1616086800000.0,Garbage,Milk,234.4224
1618244503000,9074,NextSong,Logged In,PUT,200,paid,12,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,The Watson Twins,U N Me,140.95628
1618244526000,8636,NextSong,Logged In,PUT,200,paid,3,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,Daft Punk,Veridis Quo,344.9465
1618244543000,9043,NextSong,Logged In,PUT,200,paid,33,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,Lionel Richie,Hello,249.62567
1618244550000,9038,NextSong,Logged In,PUT,200,paid,11,San Jose,95135,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.68836,37.286454,852.0,Weber,Charlie,M,1616086800000.0,Bruce Springsteen,Streets Of Philadelphia,195.7873
1618244556000,4132,NextSong,Logged In,PUT,200,paid,20,Ferndale,48220,MI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.135213,42.458066,237.0,Russo,Darron,M,1616086800000.0,The Decemberists,A Cautionary Song,188.44688
1618244570000,8934,NextSong,Logged In,PUT,200,paid,21,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,Alter Bridge,Watch Your Words,324.51874
1618244579000,8679,NextSong,Logged In,PUT,200,free,1,Edmond,73013,OK,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.484375,35.618788,700.0,Gonzalez,Joel,M,1616086800000.0,Jorge Drexler,Guitarra y vos,235.07545
1618244581000,8679,Upgrade,Logged In,GET,200,free,2,Edmond,73013,OK,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.484375,35.618788,700.0,Gonzalez,Joel,M,1616086800000.0,,,
1618244582000,8679,Submit Upgrade,Logged In,PUT,307,free,3,Edmond,73013,OK,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.484375,35.618788,700.0,Gonzalez,Joel,M,1616086800000.0,,,
1618244584000,8679,Home,Logged In,GET,200,paid,4,Edmond,73013,OK,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.484375,35.618788,700.0,Gonzalez,Joel,M,1616086800000.0,,,
1618244587000,9024,NextSong,Logged In,PUT,200,paid,52,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,Lee Ann Womack,Forever Christmas Eve,267.78076
1618244600000,7705,NextSong,Logged In,PUT,200,paid,28,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,Snow Patrol,Disaster Button,235.41505
1618244626000,9040,NextSong,Logged In,PUT,200,paid,22,Louisville,40218,KY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.654311,38.189321,266.0,Daniel,Collin,M,1616086800000.0,Annie Lennox,Why,296.5416
1618244643000,9014,NextSong,Logged In,PUT,200,paid,44,Flushing,48433,MI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.867227,43.075348,938.0,Bush,Elijah,M,1616086800000.0,GRAVEWORM,Fragile Side,260.93668
1618244643000,9074,NextSong,Logged In,PUT,200,paid,13,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,Mike Posner,Cooler Than Me,214.7522
1618244659000,8255,NextSong,Logged In,PUT,200,paid,25,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Luis Miguel,Solamente Una Vez,179.98322
1618244670000,8577,NextSong,Logged In,PUT,200,paid,36,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,A Day To Remember,If It Means A Lot To You,243.22568
1618244681000,9008,NextSong,Logged In,PUT,200,paid,48,Winnsboro,75494,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.25986,32.917192,291.0,Johnson,Emely,F,1616086800000.0,Bruce Springsteen,Streets Of Philadelphia,195.7873
1618244721000,4680,NextSong,Logged In,PUT,200,paid,3,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506.0,Miller,Brianna,F,1616086800000.0,The Strokes,Reptilia,218.56609
1618244744000,4132,NextSong,Logged In,PUT,200,paid,21,Ferndale,48220,MI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.135213,42.458066,237.0,Russo,Darron,M,1616086800000.0,Miley Cyrus,Goodbye,230.79138
1618244745000,9038,NextSong,Logged In,PUT,200,paid,12,San Jose,95135,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.68836,37.286454,852.0,Weber,Charlie,M,1616086800000.0,Red Hot Chili Peppers,Road Trippin' (Album Version),204.9824
1618244792000,9043,NextSong,Logged In,PUT,200,paid,34,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,Flight Of The Conchords,Demon Woman,119.74485
1618244814000,8679,NextSong,Logged In,PUT,200,paid,5,Edmond,73013,OK,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.484375,35.618788,700.0,Gonzalez,Joel,M,1616086800000.0,Tryo,J'ai Rien PrÃÂ©vu Pour Demain,658.5204
1618244835000,7705,NextSong,Logged In,PUT,200,paid,29,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,Carrie Underwood,I Told You So,257.88037
1618244838000,8255,NextSong,Logged In,PUT,200,paid,26,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Presidents Of The United States Of America,Ladybug,154.17424
1618244854000,9024,NextSong,Logged In,PUT,200,paid,53,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,DIVOKEJ BILL,ALKOHOL,377.3122
1618244857000,9074,NextSong,Logged In,PUT,200,paid,14,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,Akon,Freedom,253.77914
1618244870000,8636,NextSong,Logged In,PUT,200,paid,4,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,Vilma Palma e Vampiros,Bye bye,349.57016
1618244876000,9008,NextSong,Logged In,PUT,200,paid,49,Winnsboro,75494,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.25986,32.917192,291.0,Johnson,Emely,F,1616086800000.0,Bosson,One In A Million,213.99464
1618244894000,8934,NextSong,Logged In,PUT,200,paid,22,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,Young Money,Roger That,209.81506
1618244903000,9014,NextSong,Logged In,PUT,200,paid,45,Flushing,48433,MI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.867227,43.075348,938.0,Bush,Elijah,M,1616086800000.0,Michael Cera & Ellen Page,Anyone Else But You,116.71465
1618244911000,9043,NextSong,Logged In,PUT,200,paid,35,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,Dinosaur Jr.,Back To Your Heart,271.01996
1618244913000,8577,NextSong,Logged In,PUT,200,paid,37,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,Dane Cook,My Son Optimus Prime,86.90893
1618244922000,9040,NextSong,Logged In,PUT,200,paid,23,Louisville,40218,KY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.654311,38.189321,266.0,Daniel,Collin,M,1616086800000.0,Margot & The Nuclear So And So's,Dress Me Like a Clown,276.79303
1618244939000,4680,NextSong,Logged In,PUT,200,paid,4,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506.0,Miller,Brianna,F,1616086800000.0,Alexisonfire,Midnight Regulations (Album Version),251.11465
1618244949000,9038,NextSong,Logged In,PUT,200,paid,13,San Jose,95135,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.68836,37.286454,852.0,Weber,Charlie,M,1616086800000.0,Cage The Elephant,Ain't No Rest For The Wicked (Original Version),175.12444
1618244974000,4132,NextSong,Logged In,PUT,200,paid,22,Ferndale,48220,MI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.135213,42.458066,237.0,Russo,Darron,M,1616086800000.0,Super700,S.T.T.S.M.C. (Somebody Tried To Steal My Car),257.59302
1618244992000,8255,NextSong,Logged In,PUT,200,paid,27,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Bayside,Dear Tragedy (Album Version),295.4967
1618244999000,8577,NextSong,Logged In,PUT,200,paid,38,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,BeyoncÃÂ©,Halo,261.7465
1618245019000,9014,NextSong,Logged In,PUT,200,paid,46,Flushing,48433,MI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.867227,43.075348,938.0,Bush,Elijah,M,1616086800000.0,Nickelback,Diggin' This (Album Version),181.68118
1618245089000,9008,NextSong,Logged In,PUT,200,paid,50,Winnsboro,75494,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.25986,32.917192,291.0,Johnson,Emely,F,1616086800000.0,Austin Collins,Things You Want The Most,179.93098
1618245092000,7705,NextSong,Logged In,PUT,200,paid,30,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,Brian Eno,An Ending (Ascent) (2005 Digital Remaster),265.8216
1618245103000,8934,NextSong,Logged In,PUT,200,paid,23,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,Andrew Bird,Heretics,215.87546
1618245110000,9074,NextSong,Logged In,PUT,200,paid,15,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,Japan,Visions Of China,218.122
1618245182000,9043,NextSong,Logged In,PUT,200,paid,36,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,Julie London,You'd Be So Nice To Come Home To,136.5416
1618245190000,4680,NextSong,Logged In,PUT,200,paid,5,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506.0,Miller,Brianna,F,1616086800000.0,The 4 of us,Kill You,204.56444
1618245198000,9040,NextSong,Logged In,PUT,200,paid,24,Louisville,40218,KY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.654311,38.189321,266.0,Daniel,Collin,M,1616086800000.0,Celso Fonseca,Consolacao,243.80035
1618245200000,9014,NextSong,Logged In,PUT,200,paid,47,Flushing,48433,MI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.867227,43.075348,938.0,Bush,Elijah,M,1616086800000.0,Alexi Murdoch,Dream About Flying,288.93994
1618245219000,8636,NextSong,Logged In,PUT,200,paid,5,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,Cut Copy,That Was Just A Dream,155.53261
1618245231000,9024,NextSong,Logged In,PUT,200,paid,54,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,Datarock,Give It Up (Kissy Sell Out's 4x4 Cello Mix),278.90894
1618245231000,4132,NextSong,Logged In,PUT,200,paid,23,Ferndale,48220,MI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.135213,42.458066,237.0,Russo,Darron,M,1616086800000.0,Adrienne Pierce,Lost And Found,216.78975
1618245260000,8577,NextSong,Logged In,PUT,200,paid,39,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,Drake,Houstatlantavegas,290.4028
1618245268000,9008,NextSong,Logged In,PUT,200,paid,51,Winnsboro,75494,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.25986,32.917192,291.0,Johnson,Emely,F,1616086800000.0,Sybreed,Permafrost,305.2926
1618245287000,8255,NextSong,Logged In,PUT,200,paid,28,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Florence + The Machine,Kiss With A Fist,131.3171
1618245305000,9038,About,Logged In,GET,200,paid,14,San Jose,95135,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.68836,37.286454,852.0,Weber,Charlie,M,1616086800000.0,,,
1618245318000,8934,NextSong,Logged In,PUT,200,paid,24,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,DHT Feat. EdmÃÂ©e,Listen To Your Heart,229.98158
1618245328000,9074,NextSong,Logged In,PUT,200,paid,16,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,Jane's Addiction,Been Caught Stealing ( LP Version ),214.22975
1618245357000,7705,NextSong,Logged In,PUT,200,paid,31,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,Time Requiem,Time Requiem,559.12445
1618245374000,8636,NextSong,Logged In,PUT,200,paid,6,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,65daysofstatic,Lyonesse,206.62811
1618245385000,8636,Downgrade,Logged In,GET,200,paid,7,Lawrenceville,30045,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.927669,33.936518,783.0,Sanchez,Noah,M,1616086800000.0,,,
1618245394000,4680,NextSong,Logged In,PUT,200,paid,6,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506.0,Miller,Brianna,F,1616086800000.0,Chris Cornell,Scream,374.62158
1618245418000,1057,Home,Logged In,GET,200,free,0,Palm Springs,92262,CA,"""Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53""",-116.566176,33.860925,634.0,Gonzalez,Eleonore,F,1616086800000.0,,,
1618245418000,8255,NextSong,Logged In,PUT,200,paid,29,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Massive Attack,Paradise Circus (Gui Boratto Remix),487.44443
1618245441000,9040,NextSong,Logged In,PUT,200,paid,25,Louisville,40218,KY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.654311,38.189321,266.0,Daniel,Collin,M,1616086800000.0,The Temper Trap,Fools,275.40854
1618245447000,4132,NextSong,Logged In,PUT,200,paid,24,Ferndale,48220,MI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.135213,42.458066,237.0,Russo,Darron,M,1616086800000.0,Nickelback,Someday,205.5571
1618245448000,8725,NextSong,Logged In,PUT,200,free,0,Highland,48357,MI,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.6464,42.658533,931.0,Torres,Lluvia,F,1616086800000.0,Massive Attack,Rush Minute,290.66403
1618245449000,8725,Logout,Logged In,PUT,307,free,1,Highland,48357,MI,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.6464,42.658533,931.0,Torres,Lluvia,F,1616086800000.0,,,
