artist,song,duration,ts,sessionId,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration
Bright Eyes,Something Vague (Album Version),210.2069,1618665817000,10655,Logged In,paid,11,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Faith Hill And Tim McGraw,I Need You (Album Version),247.97995,1618665838000,10571,Logged In,paid,12,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Alceu ValenÃÂ§a,No BalanÃÂ§o Da Canoa,177.21423,1618665911000,10613,Logged In,paid,21,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Taylor Swift,Love Story,233.89995,1618666027000,10655,Logged In,paid,12,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Carnifex,Buzzwack,396.32935,1618666085000,10571,Logged In,paid,13,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Floetry,Sometimes U Make Me Smile,398.21017,1618666088000,10613,Logged In,paid,24,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,375.1963,1618666260000,10655,Logged In,paid,13,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Five Finger Death Punch,White Knuckles,249.96526,1618666481000,10571,Logged In,paid,14,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Chris Brown,Heart Ain't A Brain,220.15955,1618666486000,10613,Logged In,paid,25,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Parov Stelar,A Night In Torino,355.39545,1618666635000,10655,Logged In,paid,14,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Frankie Lymon And The Teenagers,Why Do Fools Fall in Love,140.56444,1618666706000,10613,Logged In,paid,26,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
matchbox twenty,Can't Let You Go (Album Version),208.56117,1618666730000,10571,Logged In,paid,15,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Alesana,Apology,317.962,1618666846000,10613,Logged In,paid,27,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Mogwai,Glasgow Mega-Snake,217.49506,1618666908000,9509,Logged In,free,1,Irvine,92620,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-117.751372,33.712629,61,Moore,Camila,F,1616086800000
Owl City,Vanilla Twilight,231.67955,1618666938000,10571,Logged In,paid,16,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Il Divo,Unchained Melody (Senza Catene),229.8771,1618666990000,10655,Logged In,paid,15,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),277.15872,1618667163000,10613,Logged In,paid,28,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Miranda!,ImÃÂ¡n,265.1424,1618667169000,10571,Logged In,paid,17,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Beastie Boys,Unite (2009 Digital Remaster),211.722,1618667219000,10655,Logged In,paid,16,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Bryan Ferry,I'M In The Mood For Love,257.82812,1618667430000,10655,Logged In,paid,17,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Third Day,Innocent,263.8624,1618667434000,10571,Logged In,paid,18,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
New Kids On The Block,Dirty Dancing,217.25995,1618667440000,10613,Logged In,paid,29,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
AndrÃÂ©s Cepeda,SabrÃÂ¡ Dios,182.02077,1618667657000,10613,Logged In,paid,30,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
3 Doors Down,Here Without You,237.13914,1618667687000,10655,Logged In,paid,18,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Archie Shepp / William Kunstler,Invocation: Attica Blues,22.36036,1618667697000,10571,Logged In,paid,19,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Enrique Iglesias,Hero,264.202,1618667719000,10571,Logged In,paid,20,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Dena DeRose,Where Or When,213.99464,1618667839000,10613,Logged In,paid,31,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Nightrage,Reconcile,265.2469,1618667924000,10655,Logged In,paid,19,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Camila,Todo Cambio,194.8469,1618667983000,10571,Logged In,paid,21,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
De La Soul,Shopping Bags (She Got From You),237.47873,1618668052000,10613,Logged In,paid,32,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Evanescence,Bring Me To Life,236.12036,1618668172000,10288,Logged In,paid,0,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
Jack Johnson,The News,146.25914,1618668177000,10571,Logged In,paid,22,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Haloo Helsinki!,Kaaos ei karkaa,223.42485,1618668189000,10655,Logged In,paid,20,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Beastie Boys,Intergalactic,209.81506,1618668241000,10164,Logged In,free,1,Fleetwood,19522,PA,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53""",-75.820496,40.447368,944,Cervantes,Riley,F,1616086800000
Melody Gardot,Twilight,61.46567,1618668289000,10613,Logged In,paid,33,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Delerium feat. Sarah McLachlan,Silence,494.81097,1618668335000,10154,Logged In,free,1,Rocklin,95765,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-121.279552,38.815502,847,Allen,Josiah,M,1616086800000
Alice In Chains,Shame In You,335.93423,1618668350000,10613,Logged In,paid,34,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Edwyn Collins,You'll Never Know (My Love) (Bovellian 07 Mix),216.842,1618668396000,10255,Logged In,free,0,Greensboro,27407,NC,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36""",-79.87816,36.008599,870,Perez,Arabella,F,1616086800000
Massive Attack,Safe From Harm,319.03302,1618668399000,10571,Logged In,paid,25,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Popol Vuh,In den NÃÂ¤chten auf den Gassen II,206.05342,1618668408000,10288,Logged In,paid,1,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
MÃÂ¶tley CrÃÂ¼e,Down At The Whisky (Explicit),229.8771,1618668412000,10655,Logged In,paid,21,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Anya Marina,Vertigo (Album Version),198.60854,1618668450000,10164,Logged In,free,6,Fleetwood,19522,PA,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53""",-75.820496,40.447368,944,Cervantes,Riley,F,1616086800000
Airbourne,Too Much_ Too Young_ Too Fast,224.7571,1618668612000,10255,Logged In,free,1,Greensboro,27407,NC,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36""",-79.87816,36.008599,870,Perez,Arabella,F,1616086800000
Skillet,The Last Night (Album Version),210.78159,1618668614000,10288,Logged In,paid,2,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
The Offspring,Something to Believe In,197.58975,1618668641000,10655,Logged In,paid,22,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Robin Thicke / Game,Diamonds,246.1775,1618668685000,10613,Logged In,paid,35,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Genesis,Shepherd (BBC Nightride 1970),239.35954,1618668718000,10571,Logged In,paid,26,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Pavement,Mercy:The Laundromat,99.16036,1618668824000,10288,Logged In,paid,3,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
Kamelot,March Of Mephisto,295.6273,1618668829000,10154,Logged In,free,2,Rocklin,95765,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-121.279552,38.815502,847,Allen,Josiah,M,1616086800000
Lil Ru,The Nasty Song,207.41179,1618668836000,10255,Logged In,free,2,Greensboro,27407,NC,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36""",-79.87816,36.008599,870,Perez,Arabella,F,1616086800000
William Orbit,Deus Ex Machina,339.80035,1618668838000,10655,Logged In,paid,23,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
The Pussycat Dolls,Sway,190.95465,1618668923000,10288,Logged In,paid,4,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
South St Player,Who Keeps Changing Your Mind? (The Night Mix),462.52362,1618668931000,10613,Logged In,paid,36,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Udo JÃÂ¼rgens,Anuschka,174.65424,1618668957000,10571,Logged In,paid,27,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Tavares,Heaven Must Be Missing An Angel,394.00443,1618669112000,9220,Logged In,paid,1,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506,Miller,Brianna,F,1616086800000
PJ Harvey,Highway '61 Revisited,177.31873,1618669113000,10288,Logged In,paid,5,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
Camila,Coleccionista De Canciones  (Version Acustica),275.1473,1618669128000,10673,Logged In,free,0,Broomfield,80021,CO,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-105.113724,39.890663,733,Mitchell,Rylan,M,1616086800000
Sikth,Peep Show,250.53995,1618669131000,10571,Logged In,paid,28,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Modern Lovers,Roadrunner,290.19382,1618669177000,10655,Logged In,paid,24,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Ludacris,Rollout (My Business),296.56772,1618669290000,10288,Logged In,paid,6,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
Macaco,La Ley Del Uno,226.76852,1618669381000,10571,Logged In,paid,29,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Mutemath,Clockwork,284.29016,1618669393000,10613,Logged In,paid,37,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Platero Y Tu,Somos los Platero (Pa' lo bueno y pa' lo malo),406.20364,1618669403000,10673,Logged In,free,1,Broomfield,80021,CO,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-105.113724,39.890663,733,Mitchell,Rylan,M,1616086800000
Pat Green,Wave on Wave,246.67383,1618669467000,10655,Logged In,paid,25,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Dominique A,Le Courage Des Oiseaux,153.2077,1618669506000,9220,Logged In,paid,2,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506,Miller,Brianna,F,1616086800000
Liquid Soul,Born In A New World,512.0518,1618669586000,10288,Logged In,paid,7,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
La Roux,Bulletproof,205.60934,1618669607000,10571,Logged In,paid,30,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
