ts,sessionId,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,success
1618405973000,9377,paid,1,Fort Lauderdale,33317,FL,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.227875,26.1126,853.0,Crawford,Armani,M,1616086800000.0,True
1618406782000,9203,paid,1,Maitland,32751,FL,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-81.365046,28.6304,248.0,Harrison,Allyson,F,1616086800000.0,True
1618410235000,9660,paid,1,San Pedro,90732,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-118.312878,33.74212,699.0,Savage,Carter,M,1616086800000.0,True
1618410628000,9403,free,1,Houston,77038,TX,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-95.441194,29.918595,653.0,Cobb,Jayla,F,1616086800000.0,True
1618412495000,9703,paid,1,West Hills,91307,CA,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,-118.6649,34.200833,,,,,,False
1618412627000,9543,paid,1,Frankfort,46041,IN,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-86.49384,40.295038,622.0,Jones,Adriano,M,1616086800000.0,True
1618413490000,8516,paid,1,Saint Paul,55105,MN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-93.168279,44.93718,329.0,Oconnor,Brooke,F,1616086800000.0,True
1618413535000,9524,paid,2,Mulberry,33860,FL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-82.028186,27.767271,491.0,Franklin,Dava,F,1616086800000.0,True
1618413933000,6687,paid,66,Londonderry,03053,NH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-71.387919,42.86967,,,,,,False
1618414898000,9663,paid,3,Sumrall,39482,MS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.579154,31.372022,,,,,,False
1618415118000,9737,free,5,Astatula,34705,FL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-81.718669,28.69976,798.0,Wagner,Colton,M,1616086800000.0,True
1618415210000,8296,paid,1,Plaistow,03865,NH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-71.094993,42.840703,,,,,,False
1618415724000,9283,paid,2,Spencerport,14559,NY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-77.819055,43.189993,645.0,Hernandez,Roxy,F,1616086800000.0,True
1618428037000,9715,free,6,Boone,28607,NC,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,-81.65237,36.218021,,,,,,False
1618430923000,9825,paid,1,Sumrall,39482,MS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.579154,31.372022,808.0,Russell,Skye,F,1616086800000.0,True
1618432983000,9738,paid,1,Hazlehurst,31539,GA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-82.605344,31.8317,571.0,Johnson,Zayne,M,1616086800000.0,True
1618437915000,9560,paid,55,Warren,07059,NJ,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.519044,40.634588,541.0,White,Eli,M,1616086800000.0,True
1618446530000,9206,paid,15,Houston,77074,TX,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-95.515725,29.687947,610.0,Fritz,Sophie,F,1616086800000.0,True
1618446876000,9052,paid,2,Crosswicks,08515,NJ,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-74.653491,40.120242,148.0,Hunt,Veronica,F,1616086800000.0,True
1618446934000,9882,paid,2,Saint Paul,55105,MN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-93.168279,44.93718,329.0,Oconnor,Brooke,F,1616086800000.0,True
1618449019000,9160,paid,2,Richmond,23234,VA,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,-77.47066,37.451423,597.0,Gonzalez,Temperance,F,1616086800000.0,True
1618449795000,9725,paid,6,Corona,92880,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-117.617809,33.918043,55.0,Hernandez,Hailey,F,1616086800000.0,True
1618454391000,9865,paid,2,Frederick,21703,MD,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53""",-77.473482,39.367031,669.0,Miller,Bobbie,F,1616086800000.0,True
1618458920000,8136,paid,2,Commercial Point,43116,OH,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-83.062012,39.771637,,,,,,False
1618475057000,9919,paid,12,Old Town,04468,ME,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",-68.733419,45.023431,895.0,Collins,Junior,M,1616086800000.0,True
1618476188000,9993,free,7,Leesburg,34748,FL,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-81.882169,28.766846,,,,,,False
1618476189000,9993,free,8,Leesburg,34748,FL,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-81.882169,28.766846,,,,,,False
1618476244000,9993,free,9,Leesburg,34748,FL,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-81.882169,28.766846,287.0,Wood,Masyn,F,1616086800000.0,True
1618479013000,9399,paid,65,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559.0,Rodgers,Chase,M,1616086800000.0,True
1618482254000,8548,free,4,Petersburg,37144,TN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.660358,35.305223,49.0,Levy,Ixchel,F,1616086800000.0,True
1618482971000,9963,paid,1,Corona,92880,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-117.617809,33.918043,55.0,Hernandez,Hailey,F,1616086800000.0,True
1618483651000,9944,paid,63,Sumrall,39482,MS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.579154,31.372022,808.0,Russell,Skye,F,1616086800000.0,True
1618484476000,9286,paid,25,Belleville,62221,IL,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-89.905289,38.512111,905.0,Ortiz,Ryan,M,1616086800000.0,True
1618484832000,9773,paid,2,Nashville,37216,TN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.726843,36.216583,507.0,Chavez,Prestyn,F,1616086800000.0,True
1618488356000,8126,free,6,Bowling Green,42101,KY,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.463061,37.058096,552.0,Montes,Julian,M,1616086800000.0,True
1618488489000,7980,free,2,Monona,52159,IA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-91.362689,43.078888,821.0,Garcia,Emma,F,1616086800000.0,True
1618490295000,10013,paid,1,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,True
1618490430000,8669,paid,4,North Bend,98045,WA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-121.606826,47.390316,563.0,Hall,Isabella,F,1616086800000.0,True
1618492741000,9684,free,5,Memphis,38135,TN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-89.848559,35.238925,106.0,Hill,Hailey,F,1616086800000.0,True
1618495126000,9496,free,9,Houston,77091,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-95.435966,29.853067,545.0,Rodriguez,Anamarie,F,1616086800000.0,True
1618495199000,9433,free,7,Joliet,60432,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-88.034728,41.541747,484.0,Webb,Kedrick,M,1616086800000.0,True
1618495592000,10063,paid,1,Nashville,37216,TN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.726843,36.216583,,,,,,False
1618495910000,9895,free,2,Boone,28607,NC,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,-81.65237,36.218021,572.0,Blevins,Noah,M,1616086800000.0,True
1618497523000,10010,paid,1,Ontario,91762,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-117.674011,34.05941,367.0,Howard,Samuel,M,1616086800000.0,True
1618498160000,10026,paid,1,Egg Harbor Township,08234,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-74.620728,39.388393,746.0,Ramirez,Kyra,F,1616086800000.0,True
1618498964000,9440,paid,1,Saint Louis,63101,MO,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-90.19261,38.631558,345.0,Pena,Kaden,M,1616086800000.0,True
1618502340000,9558,paid,3,Versailles,40383,KY,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-84.738859,38.006552,331.0,Solomon,Aaliyah,F,1616086800000.0,True
1618502467000,9617,paid,26,Marion,46953,IN,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.643344,40.519416,397.0,Hayes,Joseph,M,1616086800000.0,True
1618502472000,7017,free,6,Franklin,37069,TN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.903598,35.987493,485.0,Reyes,Addison,F,1616086800000.0,True
1618506577000,10031,paid,2,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,True
1618511064000,7661,paid,14,Baltimore,21206,MD,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-76.538877,39.338428,872.0,Hopkins,Layla,F,1616086800000.0,True
1618515005000,10108,paid,1,Nashville,37216,TN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-86.726843,36.216583,507.0,Chavez,Prestyn,F,1616086800000.0,True
1618524099000,10218,paid,38,Egg Harbor Township,08234,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-74.620728,39.388393,746.0,Ramirez,Kyra,F,1616086800000.0,True
1618525735000,10065,paid,53,Corona,92880,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-117.617809,33.918043,55.0,Hernandez,Hailey,F,1616086800000.0,True
1618529049000,9693,paid,2,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,True
1618529241000,10065,paid,71,Corona,92880,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-117.617809,33.918043,55.0,Hernandez,Hailey,F,1616086800000.0,True
1618529367000,9490,paid,15,Charlotte,28217,NC,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,-80.908285,35.168896,220.0,Bailey,Gabrielle,F,1616086800000.0,True
1618533034000,9068,paid,17,Omaha,68132,NE,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-96.001137,41.262331,575.0,Bates,Jadon,M,1616086800000.0,True
1618533072000,8976,paid,2,Zapata,78076,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-99.162765,26.930929,623.0,Barker,Kenley,M,1616086800000.0,True
1618546241000,7453,paid,16,Bedford,44146,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-81.529226,41.381223,505.0,Webb,Nathan,M,1616086800000.0,True
1618549109000,10075,paid,59,Richmond,23234,VA,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,-77.47066,37.451423,597.0,Gonzalez,Temperance,F,1616086800000.0,True
1618549175000,10249,paid,1,Anthem,85086,AZ,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-112.119836,33.815971,531.0,Carpenter,Liam,M,1616086800000.0,True
1618555854000,9964,paid,2,Ashland City,37015,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-87.075554,36.279401,601.0,Golden,Scarlette,F,1616086800000.0,True
1618557576000,7453,paid,67,Bedford,44146,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-81.529226,41.381223,505.0,Webb,Nathan,M,1616086800000.0,True
1618558625000,10271,paid,2,Belleville,62221,IL,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-89.905289,38.512111,905.0,Ortiz,Ryan,M,1616086800000.0,True
1618562248000,9576,paid,1,Windsor,05089,VT,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-72.442313,43.495591,256.0,Webb,Carissa,F,1616086800000.0,True
1618563585000,9972,paid,33,Frederick,21703,MD,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53""",-77.473482,39.367031,669.0,Miller,Bobbie,F,1616086800000.0,True
1618566793000,9475,free,2,Ringgold,71068,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-93.310394,32.278612,335.0,Miller,Nakiah,F,1616086800000.0,True
1618568545000,9641,free,1,Allen,75013,TX,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-96.693964,33.114327,23.0,Carroll,Alexander,M,1616086800000.0,True
1618569927000,3756,free,3,Tempe,85281,AZ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-111.933836,33.427413,543.0,Gonzales,Miranda,F,1616086800000.0,True
1618570723000,9642,free,4,Downers Grove,60516,IL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-88.013394,41.761302,230.0,Hoover,Gregory,M,1616086800000.0,True
1618572117000,10079,paid,1,Auxvasse,65231,MO,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-91.897785,39.01654,,,,,,False
1618573726000,10350,paid,7,Egg Harbor Township,08234,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-74.620728,39.388393,746.0,Ramirez,Kyra,F,1616086800000.0,True
1618574403000,10343,paid,1,Warren,07059,NJ,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.519044,40.634588,541.0,White,Eli,M,1616086800000.0,True
1618578800000,9982,free,12,Hollywood,33026,FL,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-80.295994,26.026198,509.0,Thomas,Alejandro,M,1616086800000.0,True
1618584706000,8835,paid,1,North Augusta,29841,SC,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-81.939337,33.526407,882.0,Hanna,Brody,M,1616086800000.0,True
1618584811000,6852,paid,3,Mansfield,76063,TX,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-97.144834,32.570725,243.0,Duncan,Scarlett,F,1616086800000.0,True
1618584836000,10046,paid,1,Plano,75024,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14""",-96.802686,33.075422,955.0,Rogers,Shreeya,F,1616086800000.0,True
1618587661000,8835,paid,19,North Augusta,29841,SC,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-81.939337,33.526407,882.0,Hanna,Brody,M,1616086800000.0,True
1618587903000,9705,paid,2,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,True
1618588774000,8279,free,4,Fort Leavenworth,66027,KS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-94.911426,39.368618,718.0,Adams,Jacob,M,1616086800000.0,True
1618590035000,10236,free,7,Houston,77014,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.463971,29.981209,444.0,Santiago,Clarissa,F,1616086800000.0,True
1618590687000,10480,paid,20,Bartlett,60103,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-88.203407,41.980446,667.0,Chen,Dallas,M,1616086800000.0,True
1618590730000,10488,paid,1,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,True
1618590939000,10475,paid,1,Sumrall,39482,MS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.579154,31.372022,,,,,,False
1618592948000,10475,paid,7,Sumrall,39482,MS,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.579154,31.372022,808.0,Russell,Skye,F,1616086800000.0,True
1618593046000,9855,paid,1,Augusta,30907,GA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-82.085688,33.523809,776.0,Rivera,Hamad,M,1616086800000.0,True
1618593081000,10487,paid,2,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,True
1618593165000,10216,paid,2,Newark,19711,DE,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-75.741073,39.713598,889.0,Lewis,Ryan,M,1616086800000.0,True
